blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399474592.23077	None	None	1399474602.32079	None	None	1399474612.4108	None	None
1	1399474644.78084	None	None	1399474654.87086	None	None	1399474664.95087	1399474672.64088	4
2	1399474679.66089	1399474689.37091	7	1399474689.45091	1399474689.55091	6	1399474689.64091	1399474689.75091	4
