blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399471758.92889	1399471759.86889	1399471765.8689	None
1	1399471774.10891	1399471775.13891	1399471781.10892	1399471784.83892
2	1399471785.85892	1399471786.88892	1399471794.27894	1399471799.41894
3	1399471800.43894	1399471801.46895	1399471805.30895	1399471811.98896
4	1399471813.00896	1399471814.03896	1399471820.00897	1399471824.15898
5	1399471825.17898	1399471826.20898	1399471832.17899	1399471863.40903
