blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399471766.8889	1399471768.9789	6	1399471769.0689	1399471769.8389	4	1399471769.9289	1399471770.4089	5
1	1399471782.11892	1399471783.66892	5	1399471783.74892	1399471784.15892	4	1399471784.23892	1399471784.76892	3
2	1399471795.28894	1399471797.71894	4	1399471797.80894	1399471798.36894	5	1399471798.45894	1399471799.33894	6
3	1399471806.31895	1399471809.68896	6	1399471809.77896	1399471811.24896	7	1399471811.32896	1399471811.91896	8
4	1399471821.01897	1399471822.63897	3	1399471822.72898	1399471823.18898	2	1399471823.28898	1399471824.08898	1
