blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399475064.80622	1399475076.80624	5	1399475077.26624	None	None	1399475077.47624	None	None
1	1399475142.59336	1399475144.91336	4	1399475145.06336	1399475145.59336	5	1399475145.74336	1399475146.46336	6
2	1399475153.65337	None	None	1399475163.79339	1399475164.39339	6	1399475164.54339	1399475167.73339	6
3	1399475177.0834	1399475179.53341	6	1399475179.67341	1399475180.14341	5	1399475180.28341	1399475180.63341	6
4	1399475189.97342	1399475190.96342	5	1399475191.13342	1399475191.41342	5	1399475191.58342	1399475191.88343	5
5	1399475201.31346	1399475210.68398	8	1399475210.81398	1399475210.83398	4	1399475210.96399	1399475211.01399	8
