blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399475056.71621	1399475057.80621	1399475063.78622	None
1	1399475132.98334	1399475134.07334	1399475141.56335	1399475146.58336
2	1399475147.65336	1399475148.74336	1399475152.62337	1399475167.84339
3	1399475168.91339	1399475170.00339	1399475176.0534	1399475180.73341
4	1399475181.80341	1399475182.89341	1399475188.93342	1399475192.01343
5	1399475193.09543	1399475194.16543	1399475200.24546	1399475211.12399
