blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399654997.5775	1399654998.40431	1399655005.50912	None
1	1399655017.00554	1399655018.36274	1399655025.42355	1399655029.38196
2	1399655030.47396	1399655032.57997	1399655041.10238	1399655044.90879
3	1399655046.00079	1399655048.10679	1399655055.15921	1399655058.46641
