blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399655007.55192	1399655008.59712	7	1399655008.78432	1399655008.83112	6	1399655009.01833	1399655009.08073	5
1	1399655027.46316	1399655028.85156	7	1399655029.03876	1399655029.03876	8	1399655029.24156	1399655029.24156	9
2	1399655043.14598	1399655044.39399	7	1399655044.56559	1399655044.56559	8	1399655044.73719	1399655044.73719	9
3	1399655057.18721	1399655057.95161	7	1399655058.12321	1399655058.12321	8	1399655058.29481	1399655058.29481	9
