blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399994381.6109	1399994384.06011	5	1399994384.15371	1399994384.23171	6	1399994384.32531	1399994384.35651	5
1	1399994388.97011	1399994390.49452	7	1399994390.58812	1399994390.68172	8	1399994390.75972	1399994390.83772	7
2	1399994395.43613	1399994396.62613	8	1399994396.71973	1399994397.03173	7	1399994397.12533	1399994398.03013	8
3	1399994406.93375	1399994407.26655	1	1399994407.34455	1399994407.46935	1	1399994407.56295	1399994407.65655	1
4	1399994411.27975	1399994411.41975	1	1399994411.49975	1399994411.63975	1	1399994411.72975	1399994411.85975	1
5	1399994416.63216	1399994416.78696	1	1399994416.88056	1399994417.02096	1	1399994417.11456	1399994417.22376	1
6	1399994420.49257	1399994420.63497	1	1399994420.72857	1399994420.86897	1	1399994420.94697	1399994421.04057	1
7	1399994425.48498	1399994425.95498	1	1399994426.04498	1399994426.24498	1	1399994426.33498	1399994426.49498	1
8	1399994432.32659	1399994432.77899	1	1399994432.87259	1399994433.15339	1	1399994433.23139	1399994433.52779	1
