blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	alfioA	05.wav	1399994379.3041	1399994379.6181
-1	alfioA	06.wav	1399994379.6181	1399994379.9313
-1	alfioA	01.wav	1399994379.9313	1399994380.2445
-1	alfioA	02.wav	1399994380.2445	1399994380.5577
-1	alfioA	04.wav	1399994380.5577	1399994380.8709
-1	alfioA	07.wav	1399994380.8709	1399994381.1841
-1	alfioA	03.wav	1399994381.1841	1399994381.4853
1	alfioA	07.wav	1399994386.68091	1399994386.99091
1	alfioA	04.wav	1399994386.99091	1399994387.30411
1	alfioA	03.wav	1399994387.30411	1399994387.61731
1	alfioA	02.wav	1399994387.61731	1399994387.93051
1	alfioA	06.wav	1399994387.93051	1399994388.24371
1	alfioA	05.wav	1399994388.24371	1399994388.55691
1	alfioA	01.wav	1399994388.55691	1399994388.86011
2	gigioD	34.wav	1399994393.14652	1399994393.44652
2	gigioD	32.wav	1399994393.44652	1399994393.76092
2	gigioD	31.wav	1399994393.76092	1399994394.07412
2	gigioD	30.wav	1399994394.07412	1399994394.38732
2	gigioD	33b.wav	1399994394.38732	1399994394.70052
2	gigioD	33.wav	1399994394.70052	1399994395.01172
2	gigioD	29.wav	1399994395.01172	1399994395.31613
3	dddd	28.wav	1399994404.64454	1399994404.95454
3	dddd	25.wav	1399994404.95454	1399994405.26774
3	dddd	24.wav	1399994405.26774	1399994405.58094
3	dddd	23.wav	1399994405.58094	1399994405.89414
3	dddd	27.wav	1399994405.89414	1399994406.20734
3	dddd	26.wav	1399994406.20734	1399994406.52055
3	dddd	22.wav	1399994406.52055	1399994406.82375
4	gigioC	21.wav	1399994408.99815	1399994409.30815
4	gigioC	18.wav	1399994409.30815	1399994409.62135
4	gigioC	17.wav	1399994409.62135	1399994409.92455
4	gigioC	16.wav	1399994409.92455	1399994410.22895
4	gigioC	20.wav	1399994410.22895	1399994410.54335
4	gigioC	19.wav	1399994410.54335	1399994410.85655
4	gigioC	15.wav	1399994410.85655	1399994411.15975
5	alfioB	15.wav	1399994414.34296	1399994414.65296
5	alfioB	11.wav	1399994414.65296	1399994414.96616
5	alfioB	10.wav	1399994414.96616	1399994415.27936
5	alfioB	09.wav	1399994415.27936	1399994415.59256
5	alfioB	14.wav	1399994415.59256	1399994415.90576
5	alfioB	13.wav	1399994415.90576	1399994416.21896
5	alfioB	08.wav	1399994416.21896	1399994416.52216
6	dddd	23.wav	1399994418.19097	1399994418.51097
6	dddd	28.wav	1399994418.51097	1399994418.82417
6	dddd	26.wav	1399994418.82417	1399994419.13737
6	dddd	25.wav	1399994419.13737	1399994419.45057
6	dddd	24.wav	1399994419.45057	1399994419.76377
6	dddd	22.wav	1399994419.76377	1399994420.07697
6	dddd	27.wav	1399994420.07697	1399994420.38257
7	alfioA	02.wav	1399994423.19337	1399994423.50338
7	alfioA	07.wav	1399994423.50338	1399994423.81898
7	alfioA	05.wav	1399994423.81898	1399994424.13218
7	alfioA	04.wav	1399994424.13218	1399994424.44538
7	alfioA	03.wav	1399994424.44538	1399994424.75858
7	alfioA	01.wav	1399994424.75858	1399994425.07178
7	alfioA	06.wav	1399994425.07178	1399994425.37498
8	gigioD	30.wav	1399994430.03659	1399994430.35099
8	gigioD	34.wav	1399994430.35099	1399994430.65419
8	gigioD	33.wav	1399994430.65419	1399994430.95979
8	gigioD	32.wav	1399994430.95979	1399994431.27419
8	gigioD	31.wav	1399994431.27419	1399994431.58299
8	gigioD	29.wav	1399994431.58299	1399994431.89739
8	gigioD	33b.wav	1399994431.89739	1399994432.20179
