blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399994378.02489	1399994379.1793	1399994381.4853	None
1	1399994386.49371	1399994386.54051	1399994388.86011	1399994390.91572
2	1399994391.96092	1399994393.03732	1399994395.31613	1399994398.09253
3	1399994403.91134	1399994404.51974	1399994406.82375	1399994407.73455
4	1399994408.20255	1399994408.88895	1399994411.15975	1399994411.92975
5	1399994413.68776	1399994414.20256	1399994416.52216	1399994417.28616
6	1399994417.69176	1399994418.08177	1399994420.38257	1399994421.10297
7	1399994422.14817	1399994423.06857	1399994425.37498	1399994426.56498
8	1399994428.85098	1399994429.91179	1399994432.20179	1399994433.59019
