blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399993642.70123	1399993645.16603	3	1399993645.25963	1399993646.03963	3	1399993646.11763	1399993654.18285	3
1	1399993660.23206	1399993661.77646	6	1399993661.87006	1399993662.75926	5	1399993662.85286	1399993663.64846	4
1	1399993668.23887	1399993670.09888	4	1399993670.18888	1399993670.92408	5	1399993671.01768	1399993671.64168	6
1	1399993678.41729	1399993679.50449	6	1399993679.59809	1399993680.19089	5	1399993680.26889	1399993680.81489	4
1	1399993685.4277	1399993686.38571	4	1399993686.47931	1399993687.08771	4	1399993687.16571	1399993687.72731	5
1	1399993702.55013	1399993703.28654	5	1399993703.38014	1399993703.83254	5	1399993703.92614	1399993705.42374	4
1	1399993709.51455	1399993710.10735	5	1399993710.20095	1399993710.45055	5	1399993710.54415	1399993711.40215	6
1	1399993715.20896	1399993716.33296	4	1399993716.41096	1399993717.08176	5	1399993717.15976	1399993718.14256	6
1	1399993727.16538	1399993727.91858	6	1399993727.99658	1399993728.49578	5	1399993728.57378	1399993729.04178	4
1	1399993733.64659	1399993735.12859	4	1399993735.22219	1399993735.81499	5	1399993735.90859	1399993736.48579	6
1	1399993741.9946	1399993743.19581	6	1399993743.27381	1399993744.30341	5	1399993744.38141	1399993745.23941	4
1	1399993749.87302	1399993750.94302	4	1399993751.02302	1399993751.73302	5	1399993751.81422	1399993752.21982	6
1	1399993756.82863	1399993757.35903	6	1399993757.43703	1399993758.04543	5	1399993758.12343	1399993758.57583	4
1	1399993765.87825	1399993766.47545	6	1399993766.55345	1399993766.69385	7	1399993766.77185	1399993766.88105	8
1	1399993770.66345	1399993771.13666	8	1399993771.21466	1399993771.32386	7	1399993771.40186	1399993771.52666	6
1	1399993775.01826	1399993775.36826	6	1399993775.44826	1399993775.47826	7	1399993775.55826	1399993775.60506	8
1	1399993778.97187	1399993779.26267	8	1399993779.35627	1399993779.41867	7	1399993779.51227	1399993779.60587	6
1	1399993783.16868	1399993784.14588	6	1399993784.23948	1399993784.30188	7	1399993784.37988	1399993784.44228	8
1	1399993790.96029	1399993791.55029	8	1399993791.63029	1399993791.69029	7	1399993791.78029	1399993791.81029	6
1	1399993795.2875	1399993795.6259	6	1399993795.7039	1399993795.7663	7	1399993795.8599	1399993795.9223	8
1	1399993800.09791	1399993800.64391	8	1399993800.72191	1399993800.94031	7	1399993801.01831	1399993801.20551	6
