blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399993639.55002	1399993640.23642	1399993642.57563	None
1	1399993656.74125	1399993657.80205	1399993660.10846	1399993663.72646
1	1399993664.77167	1399993665.83247	1399993668.12887	1399993671.71968
1	1399993675.43248	1399993675.97849	1399993678.30729	1399993680.87729
1	1399993681.9381  	1399993682.9989  	1399993685.3077	1399993687.80531
1	1399993699.56773	1399993700.12933	1399993702.44013	1399993705.48614
1	1399993706.56254	1399993707.09294	1399993709.38975	1399993711.48015
1	1399993712.52535	1399993712.77495	1399993715.09896	1399993718.22056
1	1399993724.33577	1399993724.74137	1399993727.04538	1399993729.10418
1	1399993730.16498	1399993731.22578	1399993733.53659	1399993736.54819
1	1399993739.091  	1399993739.559  	1399993741.8854	1399993745.31741
1	1399993746.37821	1399993747.45461	1399993749.74302	1399993752.29782
1	1399993753.34302	1399993754.40383	1399993756.70383	1399993758.65383
1	1399993762.47584	1399993763.45864	1399993765.76825	1399993766.97465
1	1399993767.77025	1399993768.19145	1399993770.54345	1399993771.60466
1	1399993772.30666	1399993772.58746	1399993774.89826	1399993775.68306
1	1399993776.21346	1399993776.52547	1399993778.85187	1399993779.66827
1	1399993780.43267	1399993780.72907	1399993783.04868	1399993784.50468
1	1399993788.17069	1399993788.52949	1399993790.84029	1399993791.87029
1	1399993792.52589	1399993792.86909	1399993795.1775	1399993795.9847
1	1399993797.1235	1399993797.6695	1399993799.97311	1399993801.28351
