blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399912671.18404	1399912672.96405	5	1399912673.08405	1399912673.32405	4	1399912673.43325	1399912673.91685	5
1	1399912686.07087	1399912688.57087	1	1399912688.66447	1399912688.72687	2	1399912688.82047	1399912688.88287	1
2	1399912692.22248	1399912696.96569	4	1399912697.12169	1399912697.18409	3	1399912697.34009	1399912697.38689	4
1	1399912700.28529	1399912704.2609	4	1399912704.3857	1399912706.16291	3	1399912706.27291	1399912707.40251	3
