blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399476386.38319	1399476389.57719	4	1399476389.6552	1399476393.8048	4	1399476393.8828	1399476396.09801	4
1	1399476410.24123	None	None	1399476420.33445	1399476420.72445	2	1399476420.81805	1399476421.25485	3
2	1399476431.79007	1399476438.12368	4	1399476438.21728	1399476439.16888	4	1399476439.24688	1399476440.41688	4
