blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399476262.95668	1399476379.36518	1399476385.37319	None
1	1399476404.31922	1399476405.36442	1399476409.22723	1399476421.33285
2	1399476422.36245	1399476423.39205	1399476430.77607	1399476440.49488
