blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399470776.06987	None	None	1399470786.16308	1399470791.30389	8	1399470791.43389	1399470792.2539	7
1	1399470806.75392	1399470809.84392	5	1399470809.93392	1399470810.56392	4	1399470810.65392	1399470811.46392	6
2	1399470820.46393	1399470821.61394	5	1399470821.70394	1399470825.70394	4	1399470825.78394	1399470826.38394	3
3	1399470835.49396	1399470836.53396	5	1399470836.62396	1399470837.02396	6	1399470837.11396	1399470837.58396	7
4	1399470846.83198	None	None	1399470856.91601	1399470861.86802	5	1399470861.94802	1399470862.41802	7
5	1399470869.47803	None	None	1399470879.56805	None	None	1399470889.66806	1399470891.85807	5
