blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399470767.89025	1399470768.99785	1399470775.03906	None
1	1399470797.1639	1399470798.2039	1399470805.74391	1399470811.53392
2	1399470812.55392	1399470813.48392	1399470819.45393	1399470826.45394
3	1399470827.47394	1399470828.50395	1399470834.48395	1399470837.64396
4	1399470838.66396	1399470839.69396	1399470845.80797	1399470862.48802
5	1399470863.51802	1399470864.54802	1399470868.45803	1399470891.92807
