blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399656766.4833	1399656768.6205	1399656775.65371	None
1	1399656788.51054	1399656790.58534	1399656798.96415	1399656802.52096
2	1399656803.58176	1399656805.65657	1399656812.66978	1399656816.42098
3	1399656817.46619	1399656819.52539	1399656826.4986	1399656830.32061
