blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399656777.68412	1399656781.08492	3	1399656781.17852	1399656781.17852	5	1399656781.30332	1399656781.66212	3
1	1399656800.99216	1399656802.17776	7	1399656802.27136	1399656802.31816	4	1399656802.41176	1399656802.41176	5
2	1399656814.70498	1399656816.03098	8	1399656816.12458	1399656816.21818	8	1399656816.31178	1399656816.31178	7
3	1399656828.52661	1399656829.99301	4	1399656830.07101	1399656830.13341	6	1399656830.22701	1399656830.24261	5
