blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	alfioA	05.wav	1399914178.19413	1399914178.51333
-1	alfioA	03.wav	1399914178.51333	1399914178.82653
-1	alfioA	04.wav	1399914178.82653	1399914179.13973
-1	alfioA	01.wav	1399914179.13973	1399914179.46093
-1	alfioA	07.wav	1399914179.46093	1399914179.78973
-1	alfioA	06.wav	1399914179.78973	1399914180.11853
-1	alfioA	02.wav	1399914180.11853	1399914180.42733
1	dddd	27.wav	1399914189.64215	1399914189.95655
1	dddd	28.wav	1399914189.95655	1399914190.25975
1	dddd	26.wav	1399914190.25975	1399914190.58535
1	dddd	29.wav	1399914190.58535	1399914190.88855
1	dddd	23.wav	1399914190.88855	1399914191.20175
1	dddd	30.wav	1399914191.20175	1399914191.51495
1	dddd	22.wav	1399914191.51495	1399914191.83816
1	dddd	25.wav	1399914191.83816	1399914192.15136
1	dddd	24.wav	1399914192.15136	1399914192.45456
1	gigioD	33.wav	1399914196.98576	1399914197.28576
1	gigioD	34.wav	1399914197.28576	1399914197.61017
1	gigioD	32.wav	1399914197.61017	1399914197.92457
1	gigioD	31.wav	1399914197.92457	1399914198.23897
1	alfioA	05.wav	1399914205.30578	1399914205.62378
1	alfioA	06.wav	1399914205.62378	1399914205.93698
1	alfioA	04.wav	1399914205.93698	1399914206.25018
1	alfioA	07.wav	1399914206.25018	1399914206.55338
1	alfioA	01.wav	1399914206.55338	1399914206.87658
1	alfioA	03.wav	1399914206.87658	1399914207.17978
1	alfioA	02.wav	1399914207.18978	1399914207.49298
1	gigioC	19.wav	1399914212.03379	1399914212.33939
1	gigioC	20.wav	1399914212.33939	1399914212.66259
1	gigioC	18.wav	1399914212.66259	1399914212.97579
1	gigioC	21.wav	1399914212.97579	1399914213.28899
1	gigioC	15.wav	1399914213.28899	1399914213.60219
1	gigioC	17.wav	1399914213.60219	1399914213.91539
1	gigioC	16.wav	1399914213.91539	1399914214.21859
1	alfioB	13.wav	1399914220.47061	1399914220.77501
1	alfioB	14.wav	1399914220.78501	1399914221.09821
1	alfioB	11.wav	1399914221.09821	1399914221.41141
1	alfioB	15.wav	1399914221.41141	1399914221.72461
1	alfioB	08.wav	1399914221.72461	1399914222.03581
1	alfioB	10.wav	1399914222.03581	1399914222.34901
1	alfioB	09.wav	1399914222.34901	1399914222.65221
1	dddd	29.wav	1399914227.33622	1399914227.64622
1	dddd	26.wav	1399914227.64622	1399914227.95942
1	dddd	28.wav	1399914227.95942	1399914228.27262
1	dddd	27.wav	1399914228.27262	1399914228.57582
1	dddd	24.wav	1399914228.57582	1399914228.87902
1	dddd	22.wav	1399914228.87902	1399914229.20222
1	dddd	25.wav	1399914229.20222	1399914229.51542
1	dddd	30.wav	1399914229.51542	1399914229.82862
1	dddd	23.wav	1399914229.82862	1399914230.13182
1	alfioA	06.wav	1399914234.46223	1399914234.77223
1	alfioA	05.wav	1399914234.77223	1399914235.07543
1	alfioA	04.wav	1399914235.08543	1399914235.39863
1	alfioA	03.wav	1399914235.39863	1399914235.70183
1	alfioA	01.wav	1399914235.71183	1399914236.02503
1	alfioA	02.wav	1399914236.02503	1399914236.33823
1	alfioA	07.wav	1399914236.33823	1399914236.64143
1	gigioC	20.wav	1399914241.43224	1399914241.74224
1	gigioC	19.wav	1399914241.74224	1399914242.05544
1	gigioC	18.wav	1399914242.05544	1399914242.35864
1	gigioC	17.wav	1399914242.35864	1399914242.68424
1	gigioC	15.wav	1399914242.68424	1399914242.99745
1	gigioC	16.wav	1399914242.99745	1399914243.31065
1	gigioC	21.wav	1399914243.31065	1399914243.61625
1	alfioB	14.wav	1399914248.60226	1399914248.91226
1	alfioB	13.wav	1399914248.91226	1399914249.22546
1	alfioB	11.wav	1399914249.22546	1399914249.52866
1	alfioB	10.wav	1399914249.53866	1399914249.84186
1	alfioB	08.wav	1399914249.85186	1399914250.16506
1	alfioB	09.wav	1399914250.16506	1399914250.47826
1	alfioB	15.wav	1399914250.47826	1399914250.78146
1	gigioD	33.wav	1399914255.96907	1399914256.28027
1	gigioD	31.wav	1399914256.28027	1399914256.58907
1	gigioD	34.wav	1399914256.58907	1399914256.89907
1	gigioD	32.wav	1399914256.89907	1399914257.20347
1	alfioA	07.wav	1399914262.68868	1399914262.99868
1	alfioA	03.wav	1399914262.99868	1399914263.31188
1	alfioA	04.wav	1399914263.31188	1399914263.62508
1	alfioA	01.wav	1399914263.62508	1399914263.93828
1	alfioA	06.wav	1399914263.93828	1399914264.25148
1	alfioA	02.wav	1399914264.25148	1399914264.56468
1	alfioA	05.wav	1399914264.56468	1399914264.86788
1	gigioC	21.wav	1399914269.61869	1399914269.92869
1	gigioC	17.wav	1399914269.92869	1399914270.23189
1	gigioC	18.wav	1399914270.23189	1399914270.54629
1	gigioC	15.wav	1399914270.54629	1399914270.85949
1	gigioC	20.wav	1399914270.85949	1399914271.17269
1	gigioC	16.wav	1399914271.17269	1399914271.4859
1	gigioC	19.wav	1399914271.4859	1399914271.7891
1	dddd	27.wav	1399914277.73351	1399914278.03351
1	dddd	23.wav	1399914278.03351	1399914278.35671
1	dddd	22.wav	1399914278.35671	1399914278.65991
1	dddd	26.wav	1399914278.65991	1399914278.98311
1	dddd	24.wav	1399914278.98311	1399914279.29631
1	dddd	25.wav	1399914279.29631	1399914279.59951
1	dddd	29.wav	1399914279.60951	1399914279.92271
1	dddd	30.wav	1399914279.92271	1399914280.23591
1	dddd	28.wav	1399914280.23591	1399914280.53911
1	alfioB	15.wav	1399914284.77832	1399914285.08832
1	alfioB	10.wav	1399914285.08832	1399914285.40152
1	alfioB	11.wav	1399914285.40152	1399914285.70472
1	alfioB	08.wav	1399914285.71472	1399914286.02792
1	alfioB	14.wav	1399914286.02792	1399914286.34112
1	alfioB	09.wav	1399914286.34112	1399914286.65432
1	alfioB	13.wav	1399914286.65432	1399914286.95752
1	gigioD	32.wav	1399914294.11713	1399914294.42714
1	gigioD	33.wav	1399914294.42714	1399914294.73594
1	gigioD	34.wav	1399914294.73594	1399914295.04594
1	gigioD	31.wav	1399914295.04594	1399914295.35154
1	alfioB	13.wav	1399914300.17195	1399914300.47195
