blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399657763.58193	1399657764.72074	1399657767.03674	None
1	1399657775.34076	1399657776.41716	1399657778.70556	1399657780.24476
2	1399657781.28997	1399657782.35077	1399657784.63157	1399657786.18357
3	1399657787.22878	1399657788.28958	1399657791.20438	1399657792.72039
