blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399990277.12652	1399990282.93973	7	1399990283.01773	1399990283.04893	5	1399990283.12693	1399990283.15813	7
1	1399990288.63414	1399990290.37414	8	1399990290.45214	1399990290.53014	8	1399990290.59254	1399990290.63934	4
1	1399990294.36855	1399990294.82095	4	1399990294.89895	1399990294.94575	4	1399990295.00815	1399990295.11735	4
1	1399990311.23258	1399990312.38698	8	1399990312.48058	1399990312.49618	5	1399990312.58978	1399990312.60538	8
1	1399990317.20819	1399990318.25379	5	1399990318.33179	1399990318.37859	8	1399990318.45659	1399990318.79979	5
1	1399990331.03381	1399990331.57261	4	1399990331.66621	1399990331.68181	9	1399990331.77541	1399990332.02501	4
1	1399990336.18062	1399990337.59342	5	1399990337.67142	1399990337.74942	9	1399990337.84302	1399990337.84302	5
1	1399990341.53223	1399990343.04543	6	1399990343.13903	1399990343.15463	8	1399990343.23263	1399990343.23263	6
