blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399990273.44171	1399990274.58051	1399990277.01652	None
1	1399990285.12373	1399990286.16893	1399990288.52414	1399990290.70174
1	1399990291.74694	1399990292.79214	1399990294.25935	1399990295.17975
1	1399990307.61297	1399990308.68937	1399990311.11698	1399990312.66778
1	1399990313.72858	1399990314.78938	1399990317.09819	1399990318.86219
1	1399990326.95861	1399990327.84781	1399990330.92381	1399990332.10301
1	1399990332.68022	1399990333.75662	1399990336.07062	1399990337.95222
1	1399990339.01303	1399990340.07383	1399990341.40743	1399990343.31063
