blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399996242.76768	1399996248.31529	5	1399996248.40889	None	None	1399996258.51771	1399996262.49571	6
1	1399996292.45817	1399996293.74457	8	1399996293.85377	1399996294.00977	9	1399996294.10337	1399996294.83657	8
2	1399996299.46258	1399996300.64258	8	1399996300.72058	1399996300.79858	9	1399996300.87658	1399996300.95458	8
3	1399996307.19299	1399996307.80299	9	1399996307.89299	1399996308.09299	8	1399996308.18299	1399996308.86299	9
