blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399648188.68508	1399648189.79268	1399648196.82549	None
1	1399648228.21275	1399648229.28915	1399648236.29396	1399648239.27237
2	1399648240.33317	1399648241.39397	1399648249.76838	1399648253.13799
3	1399648254.18319	1399648255.25959	1399648262.26681	1399648266.04201
4	1399648267.08721	1399648268.16362	1399648273.01362	1399648305.30568
5	1399648306.35088	1399648307.42729	1399648314.4133	1399648324.56652
