blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399476049.42409	1399476052.25009	9	1399476052.34369	1399476052.79609	8	1399476052.88969	1399476074.22661	8
None	1399476081.71462	None	None	1399476091.58944	1399476096.86224	8	1399476099.99785	1399476107.31426	8
