blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399657927.19614	1399657927.46134	1399657929.82055	None
1	1399657938.02576	1399657938.44696	1399657940.77097	1399657942.72737
2	1399657943.77257	1399657944.83337	1399657947.14178	1399657948.94338
3	1399657950.00418	1399657951.08058	1399657953.99219	1399657955.27859
