blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399657929.96055	1399657932.50335	7	1399657932.61255	1399657932.61255	8	1399657932.75295	1399657932.75295	7
1	1399657940.88097	1399657942.36857	7	1399657942.44657	1399657942.52457	8	1399657942.60257	1399657942.66497	7
2	1399657947.25858	1399657948.47538	4	1399657948.55338	1399657948.69378	5	1399657948.77178	1399657948.88098	4
3	1399657954.11219	1399657954.76379	4	1399657954.85739	1399657954.99779	3	1399657955.09139	1399657955.21619	4
