blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1395148363.02404	1395148365.52218	7	1395148365.62018	1395148372.32057	4	1395148372.41157	None	None
1	1395148403.07733	1395148404.95843	7	1395148405.04144	1395148405.27545	7	1395148405.36046	1395148405.55647	7
2	1395148416.20808	1395148422.30943	5	1395148422.39843	1395148423.41249	5	1395148423.49849	1395148423.87752	5
