blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas06.wav	1395148356.84368	1395148357.60473
-1	a	XF_PercGlas02.wav	1395148357.60573	1395148358.33977
-1	a	XF_PercGlas05.wav	1395148358.33977	1395148359.06681
-1	a	XF_PercGlas01.wav	1395148359.06681	1395148359.80285
-1	a	XF_PercGlas04.wav	1395148359.80385	1395148360.54289
-1	a	XF_PercGlas07.wav	1395148360.54289	1395148361.27294
-1	a	XF_PercGlas03.wav	1395148361.27294	1395148361.99998
1	ccc	XF_PercGlas20.wav	1395148396.91897	1395148397.65302
1	ccc	XF_PercGlas16.wav	1395148397.65302	1395148398.38406
1	ccc	XF_PercGlas19.wav	1395148398.38506	1395148399.1221
1	ccc	XF_PercGlas15.wav	1395148399.1221	1395148399.85814
1	ccc	XF_PercGlas18.wav	1395148399.85814	1395148400.59518
1	ccc	XF_PercGlas21.wav	1395148400.59518	1395148401.33523
1	ccc	XF_PercGlas17.wav	1395148401.33523	1395148402.05627
2	dddd	XF_PercGlas26.wav	1395148408.69265	1395148409.40369
2	dddd	XF_PercGlas28.wav	1395148409.40469	1395148410.13573
2	dddd	XF_PercGlas29.wav	1395148410.13673	1395148410.87777
2	dddd	XF_PercGlas24.wav	1395148410.87777	1395148411.58881
2	dddd	XF_PercGlas23.wav	1395148411.58881	1395148412.29885
2	dddd	XF_PercGlas22.wav	1395148412.29885	1395148413.0289
2	dddd	XF_PercGlas27.wav	1395148413.0289	1395148413.74094
2	dddd	XF_PercGlas30.wav	1395148413.74194	1395148414.46698
2	dddd	XF_PercGlas25.wav	1395148414.46698	1395148415.18802
3	a	XF_PercGlas06.wav	1395148427.0217	1395148427.73474
3	a	XF_PercGlas02.wav	1395148427.73474	1395148428.44878
3	a	XF_PercGlas05.wav	1395148428.44878	1395148429.16282
3	a	XF_PercGlas01.wav	1395148429.16282	1395148429.87386
3	a	XF_PercGlas04.wav	1395148429.87486	1395148430.5859
3	a	XF_PercGlas07.wav	1395148430.5859	1395148431.29694
3	a	XF_PercGlas03.wav	1395148431.29794	1395148431.99798
