blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399656067.76365	1399656069.86965	1399656076.88486	None
1	1399656091.21649	1399656093.29129	1399656100.2789	1399656103.32091
2	1399656104.36611	1399656106.44091	1399656113.41973	1399656116.77973
3	1399656117.84053	1399656119.91534	1399656128.28255	1399656131.63656
