blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399657165.4442	1399657166.9886	9	1399657167.0822	1399657167.6594	9	1399657167.753	1399657168.34581	9
1	1399657186.92624	1399657187.79984	7	1399657187.87784	1399657187.98704	8	1399657188.06504	1399657188.15864	7
2	1399657201.74226	1399657202.78747	7	1399657202.88107	1399657203.23987	8	1399657203.33347	1399657203.78587	7
3	1399657216.01389	1399657216.68469	7	1399657216.77829	1399657217.24629	8	1399657217.32429	1399657217.83909	7
