blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399657156.05498	1399657156.41378	1399657163.4266	None
1	1399657175.88062	1399657177.93982	1399657184.91063	1399657188.23664
2	1399657189.28184	1399657191.34105	1399657199.71426	1399657203.86387
3	1399657204.90907	1399657206.99947	1399657213.98588	1399657217.90149
