blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399656914.03588	1399656915.15908	1399656922.1843	None
1	1399656943.25633	1399656945.31554	1399656953.70235	1399656956.91596
2	1399656957.97676	1399656960.03596	1399656967.00837	1399656971.54798
3	1399656972.59318	1399656974.65239	1399656981.6452	1399656985.68961
