blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399655222.3686	1399655224.5214	1399655231.63381	None
1	1399655284.89711	1399655287.15911	1399655295.73033	1399655302.64114
2	1399655303.74874	1399655305.83914	1399655312.94596	1399655320.52757
3	1399655321.61957	1399655323.75678	1399655330.85239	1399655363.81525
