blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399646113.83933	1399646121.90414	4	1399646122.06014	1399646122.69975	5	1399646122.85575	1399646126.05375	5
1	1399646158.50901	1399646159.96981	9	1399646160.12581	1399646160.15701	8	1399646160.31301	1399646160.67181	7
2	1399646172.26743	None	None	1399646182.45425	None	None	1399646192.60987	None	None
3	1399646212.1319	None	None	1399646222.28752	1399646230.30593	9	1399646230.46193	1399646230.78953	9
4	1399646243.83876	None	None	1399646254.02557	None	None	1399646264.36839	None	None
