blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1395135014.0184	1395135015.33748	1395135021.57284	None
1	1395135030.56035	1395135031.60141	1395135035.57464	1395135038.25179
2	1395135039.27085	1395135040.30491	1395135046.45526	1395135048.8614
3	1395135049.88246	1395135050.91251	1395135057.08587	1395135060.43606
4	1395135061.45712	1395135062.48918	1395135068.48552	1395135070.96466
5	1395135071.98372	1395135073.01578	1395135080.4352	1395135082.61333
