blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1395135022.6329	1395135024.85902	9	1395135024.97003	1395135025.00303	3	1395135025.09504	1395135025.11704	8
1	1395135036.5957	1395135037.95877	8	1395135038.04178	1395135038.06778	4	1395135038.15378	1395135038.18479	9
2	1395135047.47532	1395135048.57838	9	1395135048.66439	1395135048.69039	3	1395135048.77639	1395135048.79539	9
3	1395135058.10893	1395135060.02204	9	1395135060.11004	1395135060.19605	9	1395135060.28405	1395135060.36806	9
4	1395135069.50558	1395135070.10261	9	1395135070.18362	1395135070.55564	3	1395135070.63964	1395135070.89566	8
5	1395135081.45526	1395135082.03829	8	1395135082.1213	1395135082.34331	3	1395135082.42832	1395135082.54632	8
